Test Error,Best Iteration,base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,lambda,max_depth,min_child_weight,objective,scale_pos_weight,subsample
0.871988,1669,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,1,6,0,binary:logistic,0.0720672427472,0.5
0.871626,1664,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,2,6,0,binary:logistic,0.0720672427472,0.5
0.871547,2991,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,1,6,0,binary:logistic,0.0720672427472,0.5
0.869053,2994,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,2,6,0,binary:logistic,0.0720672427472,0.5
0.870553,1297,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,1,10,0,binary:logistic,0.0720672427472,0.5
0.870142,1606,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,2,10,0,binary:logistic,0.0720672427472,0.5
0.872227,2975,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,1,10,0,binary:logistic,0.0720672427472,0.5
0.869736,2991,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,2,10,0,binary:logistic,0.0720672427472,0.5
0.868492,1104,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,1,16,0,binary:logistic,0.0720672427472,0.5
0.868811,1253,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,2,16,0,binary:logistic,0.0720672427472,0.5
0.871874,2967,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,1,16,0,binary:logistic,0.0720672427472,0.5
0.869519,2998,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,2,16,0,binary:logistic,0.0720672427472,0.5
0.869421,168,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,1,6,0,binary:logistic,0.0720672427472,0.5
0.869214,177,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,2,6,0,binary:logistic,0.0720672427472,0.5
0.873839,638,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,1,6,0,binary:logistic,0.0720672427472,0.5
0.871771,930,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,2,6,0,binary:logistic,0.0720672427472,0.5
0.86809,114,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,1,10,0,binary:logistic,0.0720672427472,0.5
0.869271,150,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,2,10,0,binary:logistic,0.0720672427472,0.5
0.873175,461,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,1,10,0,binary:logistic,0.0720672427472,0.5
0.871229,2447,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,2,10,0,binary:logistic,0.0720672427472,0.5
0.864619,109,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,1,16,0,binary:logistic,0.0720672427472,0.5
0.867363,135,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,2,16,0,binary:logistic,0.0720672427472,0.5
0.871964,531,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,1,16,0,binary:logistic,0.0720672427472,0.5
0.871941,1196,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,2,16,0,binary:logistic,0.0720672427472,0.5
0.87291,1904,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,1,6,0,binary:logistic,0.0720672427472,1.0
0.872573,2045,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,2,6,0,binary:logistic,0.0720672427472,1.0
0.871813,2972,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,1,6,0,binary:logistic,0.0720672427472,1.0
0.870722,2996,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,2,6,0,binary:logistic,0.0720672427472,1.0
0.871095,1454,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,1,10,0,binary:logistic,0.0720672427472,1.0
0.871027,1356,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,2,10,0,binary:logistic,0.0720672427472,1.0
0.87293,2993,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,1,10,0,binary:logistic,0.0720672427472,1.0
0.871762,2994,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,2,10,0,binary:logistic,0.0720672427472,1.0
0.86931,1207,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,1,16,0,binary:logistic,0.0720672427472,1.0
0.868699,1317,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,2,16,0,binary:logistic,0.0720672427472,1.0
0.873059,2999,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,1,16,0,binary:logistic,0.0720672427472,1.0
0.87198,2997,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,2,16,0,binary:logistic,0.0720672427472,1.0
0.872836,138,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,1,6,0,binary:logistic,0.0720672427472,1.0
0.873574,201,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,2,6,0,binary:logistic,0.0720672427472,1.0
0.872426,769,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,1,6,0,binary:logistic,0.0720672427472,1.0
0.870713,364,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,2,6,0,binary:logistic,0.0720672427472,1.0
0.869993,127,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,1,10,0,binary:logistic,0.0720672427472,1.0
0.869379,140,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,2,10,0,binary:logistic,0.0720672427472,1.0
0.872678,883,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,1,10,0,binary:logistic,0.0720672427472,1.0
0.872126,539,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,2,10,0,binary:logistic,0.0720672427472,1.0
0.869903,125,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,1,16,0,binary:logistic,0.0720672427472,1.0
0.868234,141,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,2,16,0,binary:logistic,0.0720672427472,1.0
0.872524,461,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,1,16,0,binary:logistic,0.0720672427472,1.0
0.873577,1102,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,2,16,0,binary:logistic,0.0720672427472,1.0
0.870201,1471,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,1,6,1,binary:logistic,0.0720672427472,0.5
0.870433,1649,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,2,6,1,binary:logistic,0.0720672427472,0.5
0.869449,2996,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,1,6,1,binary:logistic,0.0720672427472,0.5
0.868572,2802,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,2,6,1,binary:logistic,0.0720672427472,0.5
0.870058,1176,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,1,10,1,binary:logistic,0.0720672427472,0.5
0.869419,1406,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,2,10,1,binary:logistic,0.0720672427472,0.5
0.8698,2802,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,1,10,1,binary:logistic,0.0720672427472,0.5
0.868683,2974,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,2,10,1,binary:logistic,0.0720672427472,0.5
0.869896,1143,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,1,16,1,binary:logistic,0.0720672427472,0.5
0.869783,1289,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,2,16,1,binary:logistic,0.0720672427472,0.5
0.869886,2991,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,1,16,1,binary:logistic,0.0720672427472,0.5
0.868753,2900,0.932777311092,gbtree,0.5,0.5,0.01,auc,1,2,16,1,binary:logistic,0.0720672427472,0.5
0.869255,146,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,1,6,1,binary:logistic,0.0720672427472,0.5
0.868972,250,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,2,6,1,binary:logistic,0.0720672427472,0.5
0.870052,558,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,1,6,1,binary:logistic,0.0720672427472,0.5
0.869219,457,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,2,6,1,binary:logistic,0.0720672427472,0.5
0.868002,110,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,1,10,1,binary:logistic,0.0720672427472,0.5
0.868845,144,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,2,10,1,binary:logistic,0.0720672427472,0.5
0.869172,543,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,1,10,1,binary:logistic,0.0720672427472,0.5
0.869115,729,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,2,10,1,binary:logistic,0.0720672427472,0.5
0.868979,102,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,1,16,1,binary:logistic,0.0720672427472,0.5
0.868107,107,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,2,16,1,binary:logistic,0.0720672427472,0.5
0.870068,577,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,1,16,1,binary:logistic,0.0720672427472,0.5
0.868351,314,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,2,16,1,binary:logistic,0.0720672427472,0.5
0.870569,1458,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,1,6,1,binary:logistic,0.0720672427472,1.0
0.870875,1684,0.932777311092,gbtree,0.5,0.5,0.01,auc,0,2,6,1,binary:logistic,0.0720672427472,1.0
